date,lat,lon,soil_moisture_l1,soil_moisture_l2
2010-01-18,30.75,79.75,0.44750023,0.44706917
2010-01-18,30.75,80.0,0.23911095,0.24736977
2010-01-18,31.0,79.0,0.31007385,0.29530334
2010-01-18,31.0,79.25,0.33290863,0.33304596
2010-01-18,31.0,79.5,0.26937613,0.2905426
2010-01-18,31.0,79.75,0.23991203,0.27733803
2010-01-18,31.0,80.0,0.21809196,0.26799393
2010-01-19,30.25,79.0,0.37447357,0.3616104
2010-01-19,30.25,79.25,0.37962723,0.37494087
2010-01-19,30.25,79.5,0.39907455,0.39022574
2010-01-19,30.25,79.75,0.39412498,0.38295937
2010-01-19,30.25,80.0,0.42554092,0.41968727
2010-01-19,30.5,79.0,0.35087714,0.33213934
2010-01-19,30.5,79.25,0.38919702,0.3773168
2010-01-19,30.5,79.5,0.3755773,0.36588287
2010-01-19,30.5,79.75,0.26800156,0.26245752
2010-01-19,30.5,80.0,0.2755877,0.27097192
2010-01-19,30.75,79.0,0.41309547,0.37548065
2010-01-19,30.75,79.25,0.3994274,0.3805561
2010-01-19,30.75,79.5,0.34113312,0.34099197
2010-01-19,30.75,79.75,0.4474678,0.44703102
2010-01-19,30.75,80.0,0.23907661,0.24731445
2010-01-19,31.0,79.0,0.31007004,0.29528618
2010-01-19,31.0,79.25,0.33290863,0.33304596
2010-01-19,31.0,79.5,0.26937613,0.2905426
2010-01-19,31.0,79.75,0.23991394,0.27734184
2010-01-19,31.0,80.0,0.21811295,0.26805687
2010-01-20,30.25,79.0,0.3652935,0.3603058
2010-01-20,30.25,79.25,0.36932755,0.37334633
2010-01-20,30.25,79.5,0.39391074,0.38882065
2010-01-20,30.25,79.75,0.39505577,0.38289642
2010-01-20,30.25,80.0,0.42519188,0.4195423
2010-01-20,30.5,79.0,0.34381995,0.3313408
2010-01-20,30.5,79.25,0.38557687,0.37646103
2010-01-20,30.5,79.5,0.37488133,0.36594474
2010-01-20,30.5,79.75,0.26760736,0.2620913
2010-01-20,30.5,80.0,0.27555847,0.27090964
2010-01-20,30.75,79.0,0.41497803,0.3751068
2010-01-20,30.75,79.25,0.39936447,0.3805027
2010-01-20,30.75,79.5,0.34101868,0.34086737
2010-01-20,30.75,79.75,0.4474392,0.4469967
2010-01-20,30.75,80.0,0.23903847,0.24726486
2010-01-20,31.0,79.0,0.31006813,0.295269
2010-01-20,31.0,79.25,0.33290863,0.33304596
2010-01-20,31.0,79.5,0.26937613,0.2905375
2010-01-20,31.0,79.75,0.23991394,0.27734375
2010-01-20,31.0,80.0,0.21813011,0.2681141
2010-01-21,30.25,79.0,0.35700226,0.35888672
2010-01-21,30.25,79.25,0.36037636,0.371624
2010-01-21,30.25,79.5,0.38925424,0.38713202
2010-01-21,30.25,79.75,0.39697456,0.38303566
2010-01-21,30.25,80.0,0.42487526,0.41939354
2010-01-21,30.5,79.0,0.33732095,0.3302765
2010-01-21,30.5,79.25,0.3836263,0.3754743
2010-01-21,30.5,79.5,0.37447867,0.36570317
2010-01-21,30.5,79.75,0.26724753,0.26174417
2010-01-21,30.5,80.0,0.27553305,0.27085242
2010-01-21,30.75,79.0,0.41932106,0.37553406
2010-01-21,30.75,79.25,0.39929962,0.3804512
2010-01-21,30.75,79.5,0.34091058,0.34074655
2010-01-21,30.75,79.75,0.44740868,0.44695854
2010-01-21,30.75,80.0,0.23900604,0.24721336
2010-01-21,31.0,79.0,0.31006622,0.29525375
2010-01-21,31.0,79.25,0.33290863,0.33304596
2010-01-21,31.0,79.5,0.26937613,0.2905375
2010-01-21,31.0,79.75,0.23991776,0.27734756
2010-01-21,31.0,80.0,0.21815109,0.2681694
2010-01-22,30.25,79.0,0.3509693,0.3574791
2010-01-22,30.25,79.25,0.360466,0.3704834
2010-01-22,30.25,79.5,0.38837942,0.38574982
2010-01-22,30.25,79.75,0.39766312,0.3832245
2010-01-22,30.25,80.0,0.424572,0.41924477
2010-01-22,30.5,79.0,0.33563614,0.3294004
2010-01-22,30.5,79.25,0.4005127,0.3788859
2010-01-22,30.5,79.5,0.38209957,0.36894396
2010-01-22,30.5,79.75,0.26750693,0.26142755
2010-01-22,30.5,80.0,0.27550888,0.27079645
2010-01-22,30.75,79.0,0.42354012,0.3772869
2010-01-22,30.75,79.25,0.3992443,0.3803997
2010-01-22,30.75,79.5,0.34079996,0.34062448
2010-01-22,30.75,79.75,0.44737434,0.4469185
2010-01-22,30.75,80.0,0.23897552,0.24716568
2010-01-22,31.0,79.0,0.3100624,0.2952385
2010-01-22,31.0,79.25,0.33290863,0.33304596
2010-01-22,31.0,79.5,0.26937613,0.2905375
2010-01-22,31.0,79.75,0.23991776,0.27734947
2010-01-22,31.0,80.0,0.21817017,0.26822853
2010-01-23,30.25,79.0,0.34417534,0.3559971
2010-01-23,30.25,79.25,0.35274696,0.3692665
2010-01-23,30.25,79.5,0.38296637,0.3838946
2010-01-23,30.25,79.75,0.39666367,0.383255
2010-01-23,30.25,80.0,0.424263,0.41910362
2010-01-23,30.5,79.0,0.3305308,0.328406
2010-01-23,30.5,79.25,0.39477667,0.3801155
2010-01-23,30.5,79.5,0.37909782,0.36890835
2010-01-23,30.5,79.75,0.26810455,0.2612381
2010-01-23,30.5,80.0,0.27548346,0.27074304
2010-01-23,30.75,79.0,0.42443275,0.37955093
2010-01-23,30.75,79.25,0.39918518,0.38035202
2010-01-23,30.75,79.5,0.3406919,0.34050623
2010-01-23,30.75,79.75,0.44734955,0.44688606
2010-01-23,30.75,80.0,0.23893929,0.24711609
2010-01-23,31.0,79.0,0.3100605,0.29521942
2010-01-23,31.0,79.25,0.33290863,0.33304596
2010-01-23,31.0,79.5,0.26937613,0.29053244
2010-01-23,31.0,79.75,0.23991776,0.27735138
2010-01-23,31.0,80.0,0.21819115,0.26828384
2010-01-24,30.25,79.0,0.33693695,0.35424995
2010-01-24,30.25,79.25,0.34447098,0.3675022
2010-01-24,30.25,79.5,0.37844595,0.3815206
2010-01-24,30.25,79.75,0.3954525,0.38303947
2010-01-24,30.25,80.0,0.423954,0.41897392
2010-01-24,30.5,79.0,0.32330576,0.32709122
2010-01-24,30.5,79.25,0.38675055,0.37952042
2010-01-24,30.5,79.5,0.37470415,0.36769274
2010-01-24,30.5,79.75,0.26834106,0.26115417
2010-01-24,30.5,80.0,0.27545547,0.27069092
2010-01-24,30.75,79.0,0.42484474,0.38090897
2010-01-24,30.75,79.25,0.39912605,0.38030243
2010-01-24,30.75,79.5,0.34058,0.34039435
2010-01-24,30.75,79.75,0.44732094,0.44684792
2010-01-24,30.75,80.0,0.23890877,0.2470684
2010-01-24,31.0,79.0,0.3100586,0.29520416
2010-01-24,31.0,79.25,0.33290863,0.33304596
2010-01-24,31.0,79.5,0.26937613,0.29053244
2010-01-24,31.0,79.75,0.23992157,0.2773552
2010-01-24,31.0,80.0,0.21821404,0.26833725
2010-01-25,30.25,79.0,0.33115578,0.352602
2010-01-25,30.25,79.25,0.33930016,0.365736
2010-01-25,30.25,79.5,0.37690863,0.37947592
2010-01-25,30.25,79.75,0.39435387,0.38281822
2010-01-25,30.25,80.0,0.42366982,0.41883087
2010-01-25,30.5,79.0,0.31822458,0.32576752
2010-01-25,30.5,79.25,0.381368,0.3778267
2010-01-25,30.5,79.5,0.3714608,0.36584473
2010-01-25,30.5,79.75,0.2681783,0.26110458
2010-01-25,30.5,80.0,0.27543005,0.27063623
2010-01-25,30.75,79.0,0.42490196,0.3819828
2010-01-25,30.75,79.25,0.39907265,0.38025475
2010-01-25,30.75,79.5,0.34047318,0.34028116
2010-01-25,30.75,79.75,0.44729042,0.4468155
2010-01-25,30.75,80.0,0.23887062,0.24702263
2010-01-25,31.0,79.0,0.31005478,0.29519272
2010-01-25,31.0,79.25,0.33290863,0.33304596
2010-01-25,31.0,79.5,0.26937613,0.29052988
2010-01-25,31.0,79.75,0.23992157,0.2773552
2010-01-25,31.0,80.0,0.21824074,0.26838684
2010-01-26,30.25,79.0,0.32557487,0.35095406
2010-01-26,30.25,79.25,0.33687782,0.3641262
2010-01-26,30.25,79.5,0.37580872,0.37773386
2010-01-26,30.25,79.75,0.39253616,0.38245392
2010-01-26,30.25,80.0,0.4234066,0.41869545
2010-01-26,30.5,79.0,0.3163859,0.3247477
2010-01-26,30.5,79.25,0.38966116,0.37720618
2010-01-26,30.5,79.5,0.37620205,0.36514875
2010-01-26,30.5,79.75,0.2680613,0.26102448
2010-01-26,30.5,80.0,0.27540717,0.2705892
2010-01-26,30.75,79.0,0.42395973,0.38227463
2010-01-26,30.75,79.25,0.39902306,0.38020706
2010-01-26,30.75,79.5,0.34036508,0.34017563
2010-01-26,30.75,79.75,0.4472599,0.44677734
2010-01-26,30.75,80.0,0.2388401,0.24697304
2010-01-26,31.0,79.0,0.31005096,0.29517555
